商品コード,お礼品名,発注商品名,定期便
49378-40007949,【日時指定可】スーパードライ 350ml,スーパードライ　350ml,無
49378-40007950,【日時指定可】生ジョッキ缶　340ml,生ジョッキ缶　340ml,無
49378-40005364,スタイルフリー　350ml,スタイルフリー　350ml,無
49378-40005365,●500ml　スタイルフリー,●500ml　スタイルフリー,無
49378-40005460,Slat(スラット)グレープフルーツサワー 350ml,Slat_グレープフルーツサワー　350ml,無
49378-40005459,Slat(スラット)シャルドネサワー 350ml,Slat_シャルドネサワー　350ml,無
49378-40005461,Slat(スラット)レモンサワー 350ml,Slat_レモンサワー　350ml,無
49378-40005462,Slat(スラット)白桃サワー 350ml,Slat_白桃サワー　350ml,無
49378-40005362,スーパードライ 350ml,スーパードライ　350ml,無
49378-40005363,●500ml　スーパードライ,●500ml　スーパードライ,無
49378-40005612,●500ml　アサヒ　オフ,●500ml　アサヒ　オフ,無
49378-40005688,アサヒ　オフ　350ml,アサヒ　オフ　350ml,無
49378-40007794,アサヒ ザ・リッチ　350ml,アサヒ ザ・リッチ　350ml,無
49378-40007793,●500ml アサヒ ザ・リッチ,●500ml　アサヒ ザ・リッチ,無
49378-40007676,スタイルバランス　カシスオレンジ　350ml,スタバラ_カシスオレンジ（ノンアル）350ml,無
49378-40007677,スタイルバランス　シャルドネ　350ml,スタバラ_シャルドネ（ノンアル）350ml,無
49378-40007675,スタイルバランス　完熟りんご　350ml,スタバラ_完熟りんご（ノンアル）350ml,無
49378-40005299,ドライゼロ　350ml,（ノンアル）　ドライゼロ　350ml,無
49378-40005300,●500ml　ドライゼロ(ノンアルコール),●500ml　ドライゼロ　(ノンアル),無
49378-40005293,マルエフ　350ml,マルエフ　350ml,無
49378-40005294,●500ml　マルエフ,●500ml　マルエフ,無
49378-40008050,●500ml　ウィルキンソン　クラッシュ・グレープフルーツ,●500ml　ウィルキンソン　クラッシュ・グレープフルーツ,無
49378-40006779,●500ml　ウィルキンソン　炭酸水,●500ml　ウィルキンソン　炭酸水,無
49378-40006780,●500ml　ウィルキンソン　レモン,●500ml　ウィルキンソン　レモン,無
49378-40005308,●500ml　クリアアサヒ,●500ml　クリアアサヒ,無
49378-40005613,●500ml　クリアアサヒ,●500ml　クリアアサヒ,無
49378-40005687,クリアアサヒ　350ml,クリアアサヒ　350ml,無
49378-40007672,スタイルバランス　グレープフルーツサワー 350ml,スタバラ_グレープフルーツサワー（ノンアル）350ml,無
49378-40007673,スタイルバランス　ゆずテイスト 350ml,スタバラ_ゆずテイスト（ノンアル）350ml,無
49378-40007671,スタイルバランス　レモンサワー 350ml,スタバラ_レモンサワー（ノンアル）350ml,無
